route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,dir_abbr
1,122-1,2052096,1-Lamar/South Congress SB,,0,589381,40119,1,1,S
1,122-1,2052095,1-Lamar/South Congress SB,,0,589380,40119,1,1,S
1,122-1,2052094,1-Lamar/South Congress SB,,0,589383,40119,1,1,S
1,122-1,2052093,1-Lamar/South Congress SB,,0,589377,40119,1,1,S
1,122-1,2052092,1-Lamar/South Congress SB,,0,589376,40119,1,1,S
1,122-1,2052091,1-Lamar/South Congress SB,,0,589375,40119,1,1,S
1,122-1,2052090,1-Lamar/South Congress SB,,0,589382,40119,1,1,S
1,122-1,2052089,1-Lamar/South Congress SB,,0,589381,40119,1,1,S
1,122-1,2052088,1-Lamar/South Congress SB,,0,589380,40119,1,1,S
1,122-1,2052087,1-Lamar/South Congress SB,,0,589379,40119,1,1,S
1,122-1,2052086,1-Lamar/South Congress SB,,0,589383,40119,1,1,S
1,122-1,2052085,1-Lamar/South Congress SB,,0,589377,40119,1,1,S
1,122-1,2052084,1-Lamar/South Congress SB,,0,589376,40119,1,1,S
1,122-1,2052083,1-Lamar/South Congress SB,,0,589375,40119,1,1,S
1,122-1,2052082,1-Lamar/South Congress SB,,0,589382,40119,1,1,S
1,122-1,2052081,1-Lamar/South Congress SB,,0,589381,40119,1,1,S
1,122-1,2052080,1-Lamar/South Congress SB,,0,589380,40119,1,1,S
1,122-1,2052079,1-Lamar/South Congress SB,,0,589379,40119,1,1,S
1,122-1,2052078,1-Lamar/South Congress SB,,0,589383,40119,1,1,S
1,122-1,2052077,1-Lamar/South Congress SB,,0,589377,40119,1,1,S
1,122-1,2052076,1-Lamar/South Congress SB,,0,589376,40119,1,1,S
1,122-1,2052075,1-Lamar/South Congress SB,,0,589375,40119,1,1,S
1,122-1,2052074,1-Lamar/South Congress SB,,0,589382,40119,1,1,S
1,122-1,2052073,1-Lamar/South Congress SB,,0,589381,40119,1,1,S
1,122-1,2052072,1-Lamar/South Congress SB,,0,589380,40119,1,1,S
1,122-1,2052071,1-Lamar/South Congress SB,,0,589379,40119,1,1,S
1,122-1,2052070,1-Lamar/South Congress SB,,0,589383,40119,1,1,S
1,122-1,2052069,1-Lamar/South Congress SB,,0,589377,40119,1,1,S
1,122-1,2052068,1-Lamar/South Congress SB,,0,589376,40119,1,1,S
1,122-1,2052067,1-Lamar/South Congress SB,,0,589375,40119,1,1,S
1,122-1,2052066,1-Lamar/South Congress SB,,0,589382,40119,1,1,S
1,122-1,2052065,1-Lamar/South Congress SB,,0,589381,40119,1,1,S
1,122-1,2052064,1-Lamar/South Congress SB,,0,589380,40119,1,1,S
1,122-1,2052063,1-Lamar/South Congress SB,,0,589379,40119,1,1,S
1,122-1,2052062,1-Lamar/South Congress SB,,0,591119,40119,1,1,S
1,122-1,2052061,1-Lamar/South Congress SB,,0,589377,40119,1,1,S
1,122-1,2052060,1-Lamar/South Congress SB,,0,589376,40119,1,1,S
1,122-1,2052059,1-Lamar/South Congress SB,,0,589375,40119,1,1,S
1,122-1,2052100,1-Lamar/South Congress NB,,1,589377,40120,1,1,N
1,122-1,2052132,1-Lamar/South Congress NB,,1,589376,40120,1,1,N
1,122-1,2052133,1-Lamar/South Congress NB,,1,589375,40120,1,1,N
1,122-1,2052131,1-Lamar/South Congress NB,,1,589382,40120,1,1,N
1,122-1,2052130,1-Lamar/South Congress NB,,1,589381,40120,1,1,N
1,122-1,2052099,1-Lamar/South Congress NB,,1,589380,40120,1,1,N
1,122-1,2052129,1-Lamar/South Congress NB,,1,589379,40120,1,1,N
